season,lg,player,player_id,age,team,pos,g,gs,mp,fg,fga,fg_percent,x3p,x3pa,x3p_percent,x2p,x2pa,x2p_percent,e_fg_percent,ft,fta,ft_percent,orb,drb,trb,ast,stl,blk,tov,pf,pts,trp_dbl
2025,NBA,Nicolas Batum,batumni01,36.0,LAC,PF,78,8.0,1367.0,104,238,0.437,88.0,203.0,0.433,16.0,35.0,0.457,0.622,17,21,0.81,47.0,171.0,218.0,84,52.0,36.0,34.0,111.0,313,0.0
2025,NBA,Damion Baugh,baughda01,24.0,CHO,SG,15,2.0,370.0,42,130,0.323,12.0,56.0,0.214,30.0,74.0,0.405,0.369,13,15,0.867,14.0,36.0,50.0,56,15.0,2.0,31.0,22.0,109,0.0
2025,NBA,Bradley Beal,bealbr01,31.0,PHO,SG,53,38.0,1702.0,345,694,0.497,102.0,264.0,0.386,243.0,430.0,0.565,0.571,110,137,0.803,34.0,143.0,177.0,195,58.0,28.0,99.0,136.0,902,0.0
2025,NBA,Malik Beasley,beaslma01,28.0,DET,SG,82,18.0,2283.0,461,1071,0.43,319.0,766.0,0.416,142.0,305.0,0.466,0.579,95,140,0.679,47.0,167.0,214.0,139,73.0,5.0,83.0,125.0,1336,0.0
2025,NBA,MarJon Beauchamp,beaucma01,24.0,3TM,SF,35,0.0,156.0,27,65,0.415,10.0,29.0,0.345,17.0,36.0,0.472,0.492,15,20,0.75,11.0,33.0,44.0,11,4.0,1.0,15.0,14.0,79,0.0
2025,NBA,MarJon Beauchamp,beaucma01,24.0,MIL,SF,26,0.0,122.0,18,47,0.383,7.0,21.0,0.333,11.0,26.0,0.423,0.457,9,12,0.75,7.0,25.0,32.0,8,3.0,1.0,13.0,10.0,52,0.0
2025,NBA,MarJon Beauchamp,beaucma01,24.0,LAC,SF,3,0.0,17.0,4,7,0.571,2.0,3.0,0.667,2.0,4.0,0.5,0.714,2,4,0.5,2.0,1.0,3.0,2,0.0,0.0,1.0,2.0,12,0.0
2025,NBA,MarJon Beauchamp,beaucma01,24.0,NYK,SF,6,0.0,17.0,5,11,0.455,1.0,5.0,0.2,4.0,6.0,0.667,0.5,4,4,1.0,2.0,7.0,9.0,1,1.0,0.0,1.0,2.0,15,0.0
2025,NBA,Reece Beekman,beekmre01,23.0,2TM,PG,36,4.0,469.0,35,107,0.327,7.0,40.0,0.175,28.0,67.0,0.418,0.36,16,21,0.762,13.0,26.0,39.0,63,33.0,2.0,21.0,36.0,93,0.0
2025,NBA,Reece Beekman,beekmre01,23.0,GSW,PG,2,0.0,4.0,1,1,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,0,0,,1.0,0.0,1.0,1,1.0,0.0,0.0,1.0,2,0.0
2025,NBA,Reece Beekman,beekmre01,23.0,BRK,PG,34,4.0,465.0,34,106,0.321,7.0,40.0,0.175,27.0,66.0,0.409,0.354,16,21,0.762,12.0,26.0,38.0,62,32.0,2.0,21.0,35.0,91,0.0
2025,NBA,Goga Bitadze,bitadgo01,25.0,ORL,C,70,42.0,1430.0,207,339,0.611,3.0,28.0,0.107,204.0,311.0,0.656,0.615,85,133,0.639,167.0,296.0,463.0,137,49.0,98.0,72.0,150.0,502,0.0
2025,NBA,Bismack Biyombo,biyombi01,32.0,SAS,C,28,26.0,528.0,67,114,0.588,0.0,0.0,,67.0,114.0,0.588,0.588,10,25,0.4,43.0,115.0,158.0,31,16.0,23.0,27.0,52.0,144,0.0
